guide_id,gene,control_r1,control_r2,control_r3,treated_r1,treated_r2,treated_r3
SIMG0028_sg4,SIMG0028,6645,8526,7061,7859,8153,4470
SIMG0029_sg1,SIMG0029,9040,7082,7678,7569,8966,6764
SIMG0029_sg2,SIMG0029,3953,2235,2808,2541,3899,2819
SIMG0029_sg3,SIMG0029,6269,4641,6095,6167,4242,4491
SIMG0029_sg4,SIMG0029,9056,9902,4899,8301,8419,3892
SIMG0030_sg1,SIMG0030,6303,4949,2838,4458,4923,3781
SIMG0030_sg2,SIMG0030,1814,2064,3013,1855,2502,2177
SIMG0030_sg3,SIMG0030,3003,4400,3237,3549,2811,2327
SIMG0030_sg4,SIMG0030,6962,5117,4519,5722,3798,4152
SIMG0031_sg1,SIMG0031,4911,3556,4394,3797,5229,3471
SIMG0031_sg2,SIMG0031,5616,5408,5148,4787,5120,5392
SIMG0031_sg3,SIMG0031,7377,6242,5386,5763,5260,4920
SIMG0031_sg4,SIMG0031,5989,7531,4568,5776,5545,5313
SIMG0032_sg1,SIMG0032,3456,3926,3018,2919,3185,2351
SIMG0032_sg2,SIMG0032,7058,4708,4033,5575,5099,6154
SIMG0032_sg3,SIMG0032,7066,6683,5931,6070,7459,5547
SIMG0032_sg4,SIMG0032,5719,6227,6225,5616,4050,5915
SIMG0033_sg1,SIMG0033,3544,3196,3770,3703,3474,2570
SIMG0033_sg2,SIMG0033,3467,2507,1980,2835,2148,4666
SIMG0033_sg3,SIMG0033,5474,5672,5312,5496,6197,4985
SIMG0033_sg4,SIMG0033,4344,2609,3703,3952,4000,3863
SIMG0034_sg1,SIMG0034,6440,7306,6191,6442,7287,5323
SIMG0034_sg2,SIMG0034,7204,7384,5711,8389,8126,5310
SIMG0034_sg3,SIMG0034,8631,6487,6461,9216,8229,5375
SIMG0034_sg4,SIMG0034,6829,8476,6127,4957,6009,5739
SIMG0035_sg1,SIMG0035,2813,2699,1745,2667,2795,2240
SIMG0035_sg2,SIMG0035,7634,7767,5686,6889,8017,5537
SIMG0035_sg3,SIMG0035,4069,3424,3412,3815,4827,3746
SIMG0035_sg4,SIMG0035,5645,6037,5608,6272,4991,4642
SIMG0036_sg1,SIMG0036,6431,5069,4656,5715,7175,4757
SIMG0036_sg2,SIMG0036,3565,5066,3702,4053,5031,4263
SIMG0036_sg3,SIMG0036,3494,3310,3832,2898,5052,2822
SIMG0036_sg4,SIMG0036,9542,9048,9462,8996,6871,5270
SIMG0037_sg1,SIMG0037,5477,5369,3985,3798,5862,2909
SIMG0037_sg2,SIMG0037,6233,4404,4675,3059,3113,3330
SIMG0037_sg3,SIMG0037,2724,2790,2249,2179,2519,1783
SIMG0037_sg4,SIMG0037,1547,1864,2038,1295,1501,1229
SIMG0038_sg1,SIMG0038,4650,4262,4099,4235,4546,3863
SIMG0038_sg2,SIMG0038,3621,3986,3858,3685,3003,2040
SIMG0038_sg3,SIMG0038,10367,12191,10995,13897,11536,10434
SIMG0038_sg4,SIMG0038,4395,6146,3921,5143,4473,4297
SIMG0039_sg1,SIMG0039,5312,3127,3767,10635,6303,4824
SIMG0039_sg2,SIMG0039,4860,5899,5941,17715,13554,12330
SIMG0039_sg3,SIMG0039,5184,4472,4491,6233,5882,5227
SIMG0039_sg4,SIMG0039,4987,3718,4316,11659,9831,4441
SIMG0040_sg1,SIMG0040,5094,6588,4814,5080,4777,3629
SIMG0040_sg2,SIMG0040,2759,2374,2370,2727,2469,2344
SIMG0040_sg3,SIMG0040,7207,7883,6338,6913,6974,4399
SIMG0040_sg4,SIMG0040,6190,4927,8388,6255,7062,5047
SIMG0041_sg1,SIMG0041,5865,6203,4611,5273,5134,5312
SIMG0041_sg2,SIMG0041,6868,6388,6051,7397,3920,6069
SIMG0041_sg3,SIMG0041,4870,4744,4761,5117,5188,2978
SIMG0041_sg4,SIMG0041,2563,2014,2568,2417,2405,1681
SIMG0042_sg1,SIMG0042,5861,4777,4994,5091,6713,4484
SIMG0042_sg2,SIMG0042,2891,3871,3669,5621,4721,3342
SIMG0042_sg3,SIMG0042,8468,10128,8112,8429,6433,7460
SIMG0042_sg4,SIMG0042,3770,3032,3028,3335,2516,2682
SIMG0043_sg1,SIMG0043,3559,5957,4748,7715,12072,5275
SIMG0043_sg2,SIMG0043,7632,7280,5860,12953,11184,6718
SIMG0043_sg3,SIMG0043,3856,6101,6147,6870,6372,6386
SIMG0043_sg4,SIMG0043,6397,5958,7287,10456,7862,8035
SIMG0044_sg1,SIMG0044,3858,5684,5908,5130,4646,3022
SIMG0044_sg2,SIMG0044,5390,6433,5942,6336,5484,6770
SIMG0044_sg3,SIMG0044,2332,3205,2143,3175,3085,2155
SIMG0044_sg4,SIMG0044,7773,10375,8328,12369,9633,9022
SIMG0045_sg1,SIMG0045,3953,3123,3725,3827,3180,3080
SIMG0045_sg2,SIMG0045,5148,5201,5653,6473,4018,6084
SIMG0045_sg3,SIMG0045,2702,2873,2489,2469,2696,1951
SIMG0045_sg4,SIMG0045,8386,8336,8882,7164,9987,6586
SIMG0046_sg1,SIMG0046,4883,3768,4451,3593,4466,4465
SIMG0046_sg2,SIMG0046,5804,6654,5099,6296,6324,4460
SIMG0046_sg3,SIMG0046,7243,6210,7045,7939,6332,5045
SIMG0046_sg4,SIMG0046,5669,5053,5279,6589,6243,3471
SIMG0047_sg1,SIMG0047,14495,8919,12302,10890,11446,10418
SIMG0047_sg2,SIMG0047,4016,3166,2137,2578,2240,2925
SIMG0047_sg3,SIMG0047,4858,3568,3595,5405,4789,3535
SIMG0047_sg4,SIMG0047,5689,8032,7257,7761,6660,5192
SIMG0048_sg1,SIMG0048,7558,6197,5864,7518,6673,5151
SIMG0048_sg2,SIMG0048,7305,9137,5218,7493,6151,6012
SIMG0048_sg3,SIMG0048,3084,2429,2352,3400,2200,2944
SIMG0048_sg4,SIMG0048,7566,6441,7485,7715,6664,6275
SIMG0049_sg1,SIMG0049,5543,3900,4572,4017,3732,4943
SIMG0049_sg2,SIMG0049,8009,8092,6803,7463,6047,4043
SIMG0049_sg3,SIMG0049,4269,5589,4010,4305,6358,3012
SIMG0049_sg4,SIMG0049,1923,2543,2318,2412,2448,2239
SIMG0050_sg1,SIMG0050,5445,4678,5146,5710,4813,4687
SIMG0050_sg2,SIMG0050,4777,3353,3028,3937,3647,2508
SIMG0050_sg3,SIMG0050,5710,6089,5314,6352,5766,2960
SIMG0050_sg4,SIMG0050,6641,8255,5821,5889,6200,5515
SIMG0051_sg1,SIMG0051,3535,2426,3371,4650,2953,2219
SIMG0051_sg2,SIMG0051,4774,7631,7246,7514,5671,4943
SIMG0051_sg3,SIMG0051,6433,6413,6286,9208,6134,5655
SIMG0051_sg4,SIMG0051,4343,8188,5482,6335,6619,5038
SIMG0052_sg1,SIMG0052,7814,6511,6718,6579,8347,5325
SIMG0052_sg2,SIMG0052,8796,9367,4396,7083,5260,5777
SIMG0052_sg3,SIMG0052,4272,3694,3944,4277,3890,3014
SIMG0052_sg4,SIMG0052,6000,6063,5977,7508,6239,5972
SIMG0053_sg1,SIMG0053,3099,4504,2645,4882,3901,3480
SIMG0053_sg2,SIMG0053,3965,3179,2906,3005,2542,2183
SIMG0053_sg3,SIMG0053,5153,5288,4428,7177,3974,3324
SIMG0053_sg4,SIMG0053,2229,3163,2691,3240,3032,1467
SIMG0054_sg1,SIMG0054,6393,6771,5439,3989,4141,4621
SIMG0054_sg2,SIMG0054,5133,5226,4636,3878,3131,3638
SIMG0054_sg3,SIMG0054,6994,6402,4488,6141,4170,2807
SIMG0054_sg4,SIMG0054,4629,4912,5366,4811,4173,3965
SIMG0055_sg1,SIMG0055,5456,4230,3778,3687,5133,3361
SIMG0055_sg2,SIMG0055,10783,8329,8720,11712,9128,7450
SIMG0055_sg3,SIMG0055,5021,4860,4776,5214,4353,3127
SIMG0055_sg4,SIMG0055,7344,7342,7262,5755,5419,5932
SIMG0056_sg1,SIMG0056,3397,2836,2378,3114,4567,3654
SIMG0056_sg2,SIMG0056,6902,7922,8043,8679,9867,8711
SIMG0056_sg3,SIMG0056,5017,4683,6378,4219,5820,3073
SIMG0056_sg4,SIMG0056,5613,5707,5564,6221,3986,5261
SIMG0057_sg1,SIMG0057,4032,1871,2864,3214,2677,2472
SIMG0057_sg2,SIMG0057,4710,7188,5049,6444,3772,4879
SIMG0057_sg3,SIMG0057,3295,2992,2174,2238,3354,1550
SIMG0057_sg4,SIMG0057,9167,8216,5750,8245,7692,5864
SIMG0058_sg1,SIMG0058,4054,4025,4035,4636,3337,3859
SIMG0058_sg2,SIMG0058,5889,4428,3721,5285,4382,3230
SIMG0058_sg3,SIMG0058,10177,6193,5600,6199,6025,6125
SIMG0058_sg4,SIMG0058,4934,2955,4264,4023,3448,3003
SIMG0059_sg1,SIMG0059,5046,3251,3455,3901,3361,3303
SIMG0059_sg2,SIMG0059,6480,7824,4660,6094,5437,5315
SIMG0059_sg3,SIMG0059,2286,2234,2121,2763,3053,2192
SIMG0059_sg4,SIMG0059,5563,6201,5548,4157,3708,4419
SIMG0060_sg1,SIMG0060,6710,10591,8291,8914,8558,8996
SIMG0060_sg2,SIMG0060,5286,5127,4459,5100,5544,3439
SIMG0060_sg3,SIMG0060,6604,5953,5260,7316,5032,3967
SIMG0060_sg4,SIMG0060,7346,10177,6084,6740,4826,4972
SIMG0061_sg1,SIMG0061,6601,10322,6644,9501,8252,6948
SIMG0061_sg2,SIMG0061,4972,5818,4036,4886,3088,2941
SIMG0061_sg3,SIMG0061,11019,9174,7876,8111,5707,5614
SIMG0061_sg4,SIMG0061,6197,7276,6884,6917,7262,6786
SIMG0062_sg1,SIMG0062,4752,4817,4363,4726,4695,3750
SIMG0062_sg2,SIMG0062,2564,3250,2676,3212,2578,2430
SIMG0062_sg3,SIMG0062,6480,7442,7938,7735,8942,4010
SIMG0062_sg4,SIMG0062,3012,3962,3714,4280,4591,3625
SIMG0063_sg1,SIMG0063,7955,11258,7306,9693,5547,6576
SIMG0063_sg2,SIMG0063,9798,11572,10881,11251,7823,7604
SIMG0063_sg3,SIMG0063,2695,4192,3029,3031,2884,3438
SIMG0063_sg4,SIMG0063,7900,11527,6662,10739,9786,7190
SIMG0064_sg1,SIMG0064,6011,5646,5394,5871,6493,4112
SIMG0064_sg2,SIMG0064,2428,2297,2206,3570,2320,1769
SIMG0064_sg3,SIMG0064,5503,5396,4735,5781,3434,2979
SIMG0064_sg4,SIMG0064,6157,7317,5584,6470,6307,5789
SIMG0065_sg1,SIMG0065,4294,4345,4514,5032,6850,4607
SIMG0065_sg2,SIMG0065,5303,5752,4317,4482,6756,3725
SIMG0065_sg3,SIMG0065,5083,6025,4061,4420,5726,3723
SIMG0065_sg4,SIMG0065,4492,3573,3789,2969,3075,2631
SIMG0066_sg1,SIMG0066,3026,2677,1820,2815,2886,2217
SIMG0066_sg2,SIMG0066,5510,3389,3197,2876,2966,2269
SIMG0066_sg3,SIMG0066,3202,3272,2538,3415,4010,2532
SIMG0066_sg4,SIMG0066,7854,5968,6539,7003,5801,4482
SIMG0067_sg1,SIMG0067,6216,10157,7412,9441,6644,5540
SIMG0067_sg2,SIMG0067,4732,5848,7291,6160,7597,5559
SIMG0067_sg3,SIMG0067,7473,6427,6926,5133,5190,4121
SIMG0067_sg4,SIMG0067,3558,3472,2934,3160,3090,2648
SIMG0068_sg1,SIMG0068,5048,4216,4072,5578,3442,3334
SIMG0068_sg2,SIMG0068,4679,2970,3629,4294,4723,2916
SIMG0068_sg3,SIMG0068,10903,9494,7513,10826,7930,7324
SIMG0068_sg4,SIMG0068,3630,5120,3871,2750,2382,2295
SIMG0069_sg1,SIMG0069,4738,5629,5123,4914,5506,4968
SIMG0069_sg2,SIMG0069,11939,7844,8184,8980,7120,6383
SIMG0069_sg3,SIMG0069,6772,4406,5072,7842,8317,4083
SIMG0069_sg4,SIMG0069,5112,3866,2429,3494,3141,2828
SIMG0070_sg1,SIMG0070,9511,6836,7428,7315,5705,6931
SIMG0070_sg2,SIMG0070,3890,3423,4056,4339,3462,2527
SIMG0070_sg3,SIMG0070,3705,3659,2515,3777,3284,2005
SIMG0070_sg4,SIMG0070,2984,4029,2708,3313,4030,3450
SIMG0071_sg1,SIMG0071,5218,7478,4078,6092,3976,3068
SIMG0071_sg2,SIMG0071,4838,5654,6041,4602,3798,3580
SIMG0071_sg3,SIMG0071,4241,3507,5428,4872,3838,4490
SIMG0071_sg4,SIMG0071,6270,5484,4349,4403,5739,4933
SIMG0072_sg1,SIMG0072,3990,5743,5648,4898,6275,4298
SIMG0072_sg2,SIMG0072,3578,3385,4598,5425,6072,3664
SIMG0072_sg3,SIMG0072,8958,9563,5567,8390,6634,7642
SIMG0072_sg4,SIMG0072,1093,1423,1366,1509,1501,1148
SIMG0073_sg1,SIMG0073,5183,3294,4097,7043,4658,3909
SIMG0073_sg2,SIMG0073,3781,2534,2590,3450,2322,2449
SIMG0073_sg3,SIMG0073,2023,3291,1935,2683,2429,1884
SIMG0073_sg4,SIMG0073,7618,7358,8043,8468,7628,4693
SIMG0074_sg1,SIMG0074,2490,3412,2254,2815,3098,2462
SIMG0074_sg2,SIMG0074,4856,6181,4530,4655,6175,3716
SIMG0074_sg3,SIMG0074,3052,2438,1975,2374,2813,1919
SIMG0074_sg4,SIMG0074,2953,4294,2280,5212,3629,3382
SIMG0075_sg1,SIMG0075,3435,3542,4016,3618,2872,3682
SIMG0075_sg2,SIMG0075,10760,8072,8516,7733,10176,6327
SIMG0075_sg3,SIMG0075,4116,4863,4093,3638,4582,3161
SIMG0075_sg4,SIMG0075,4744,4923,5241,5895,5343,5530
SIMG0076_sg1,SIMG0076,2874,3929,3622,4155,2621,2659
SIMG0076_sg2,SIMG0076,5097,5180,4784,4456,4368,4491
SIMG0076_sg3,SIMG0076,7099,7076,6235,7526,7717,5007
SIMG0076_sg4,SIMG0076,8204,6429,5447,8456,7379,5802
SIMG0077_sg1,SIMG0077,3625,4244,5469,5742,4489,3718
SIMG0077_sg2,SIMG0077,12616,17057,10003,10389,12264,12210
SIMG0077_sg3,SIMG0077,6680,5249,7325,5685,6933,4929
SIMG0077_sg4,SIMG0077,7315,7549,7143,11734,7202,4211
SIMG0078_sg1,SIMG0078,4685,3393,3606,4447,4929,2372
SIMG0078_sg2,SIMG0078,5665,5726,4439,4602,4800,3589
SIMG0078_sg3,SIMG0078,8293,4813,9385,5951,6515,6434
SIMG0078_sg4,SIMG0078,5367,5655,6886,11033,6534,3846
SIMG0079_sg1,SIMG0079,9264,8728,7884,10913,14854,8321
SIMG0079_sg2,SIMG0079,3875,3725,3910,5319,4608,3338
SIMG0079_sg3,SIMG0079,8648,7641,8944,8962,8791,7655
SIMG0079_sg4,SIMG0079,10147,8051,7016,8280,6843,5368
SIMG0080_sg1,SIMG0080,5155,4885,5764,5611,3477,3363
SIMG0080_sg2,SIMG0080,4683,4383,4200,4982,4662,3397
SIMG0080_sg3,SIMG0080,6332,9905,7615,7744,12536,6207
SIMG0080_sg4,SIMG0080,7433,7955,6116,6358,8363,5936
SIMG0081_sg1,SIMG0081,3781,4794,3792,3613,3350,3224
SIMG0081_sg2,SIMG0081,4165,3154,3508,3301,3134,3225
SIMG0081_sg3,SIMG0081,6058,5942,4217,5631,4112,3874
SIMG0081_sg4,SIMG0081,4436,5612,3421,4476,3864,2926
SIMG0082_sg1,SIMG0082,7617,4798,10152,7781,5730,5320
SIMG0082_sg2,SIMG0082,6931,7035,5732,6886,4704,4967
SIMG0082_sg3,SIMG0082,8078,8469,9907,10318,9824,5746
SIMG0082_sg4,SIMG0082,8364,8091,8156,8057,7265,6184
SIMG0083_sg1,SIMG0083,6622,7438,6675,7028,7544,5824
SIMG0083_sg2,SIMG0083,4775,4725,5721,7483,3362,3917
SIMG0083_sg3,SIMG0083,11867,11678,9092,10988,12921,6896
SIMG0083_sg4,SIMG0083,6629,5096,6034,5676,6775,3796
SIMG0084_sg1,SIMG0084,2525,2525,2314,2926,2308,2201
SIMG0084_sg2,SIMG0084,5679,5216,5551,4520,3923,3888
SIMG0084_sg3,SIMG0084,4987,5459,4437,5294,4553,4375
SIMG0084_sg4,SIMG0084,4548,3542,3275,4316,5990,2685
SIMG0085_sg1,SIMG0085,7953,6013,5067,7392,9446,6580
SIMG0085_sg2,SIMG0085,4911,4673,2959,8537,6036,3378
SIMG0085_sg3,SIMG0085,8391,8391,8076,14408,19061,13494
SIMG0085_sg4,SIMG0085,5416,6605,4995,9788,8530,5841
SIMG0086_sg1,SIMG0086,3634,4915,5316,4830,5208,3778
SIMG0086_sg2,SIMG0086,8334,6061,8924,8389,6589,7026
SIMG0086_sg3,SIMG0086,8692,5563,7167,6559,5818,4975
SIMG0086_sg4,SIMG0086,3570,3744,4140,2318,2810,2984
SIMG0087_sg1,SIMG0087,2273,2338,2508,2140,3543,2772
SIMG0087_sg2,SIMG0087,4562,3442,5106,3150,3805,2501
SIMG0087_sg3,SIMG0087,2980,2485,2352,3950,2492,2555
SIMG0087_sg4,SIMG0087,7075,5109,4157,5684,5753,3739
SIMG0088_sg1,SIMG0088,4656,3176,2949,4832,3338,2958
SIMG0088_sg2,SIMG0088,2475,2803,2691,3920,2375,3635
SIMG0088_sg3,SIMG0088,2306,2328,2055,3376,2870,2670
SIMG0088_sg4,SIMG0088,7215,8070,6337,7911,8573,6860
SIMG0089_sg1,SIMG0089,7058,8552,6587,9086,8811,5733
SIMG0089_sg2,SIMG0089,5854,6165,3715,6615,5818,2996
SIMG0089_sg3,SIMG0089,6858,4148,3942,6807,6740,4147
SIMG0089_sg4,SIMG0089,3997,4985,3334,3371,2869,4402
SIMG0090_sg1,SIMG0090,7094,6957,7196,7619,5972,4802
SIMG0090_sg2,SIMG0090,5095,7711,7383,5150,5810,4279
SIMG0090_sg3,SIMG0090,4662,4280,4070,5308,5497,4534
SIMG0090_sg4,SIMG0090,9917,9517,8331,8521,6818,8841
SIMG0091_sg1,SIMG0091,5226,5972,5740,7640,4172,5178
SIMG0091_sg2,SIMG0091,5049,4181,3938,4058,4273,3412
SIMG0091_sg3,SIMG0091,3139,2851,1942,2703,2266,1983
SIMG0091_sg4,SIMG0091,2736,3707,4615,3803,3977,3496
SIMG0092_sg1,SIMG0092,3068,3221,2894,2495,2893,2601
SIMG0092_sg2,SIMG0092,7431,6765,4391,4241,6350,4190
SIMG0092_sg3,SIMG0092,6034,9016,10670,8922,9787,7856
SIMG0092_sg4,SIMG0092,3108,4694,3494,4192,5202,3905
SIMG0093_sg1,SIMG0093,5578,8574,8171,8635,7354,7125
SIMG0093_sg2,SIMG0093,2498,3979,2860,3502,3226,1869
SIMG0093_sg3,SIMG0093,3322,2645,2664,2484,3666,3357
SIMG0093_sg4,SIMG0093,7570,6589,9547,7305,9064,5537
SIMG0094_sg1,SIMG0094,4817,4169,2978,3846,2862,5210
SIMG0094_sg2,SIMG0094,3336,3670,2815,3911,2689,2177
SIMG0094_sg3,SIMG0094,3488,5091,3852,3485,4831,3943
SIMG0094_sg4,SIMG0094,6711,6236,4559,7270,8078,5648
SIMG0095_sg1,SIMG0095,4087,4247,2240,3594,3368,2956
SIMG0095_sg2,SIMG0095,3226,3858,4177,4716,3282,3085
SIMG0095_sg3,SIMG0095,10720,10376,9598,7133,7665,6853
SIMG0095_sg4,SIMG0095,4306,4656,2929,6472,4245,2962
SIMG0096_sg1,SIMG0096,8691,6780,6035,2728,3479,2492
SIMG0096_sg2,SIMG0096,5549,9872,6998,1715,1880,1669
SIMG0096_sg3,SIMG0096,4273,3955,2500,3394,1870,1711
SIMG0096_sg4,SIMG0096,5188,4933,4542,4503,3197,3623
SIMG0097_sg1,SIMG0097,5313,8372,5546,5762,3986,3341
SIMG0097_sg2,SIMG0097,6371,4072,5191,4708,6312,3954
