strain,temperature_c,replicate,time_h,od600
ZW-HYPER-02,65,2,3,0.0117
ZW-HYPER-02,65,2,4,0.0312
ZW-HYPER-02,65,2,5,0.0215
ZW-HYPER-02,65,2,6,0.0309
ZW-HYPER-02,65,2,7,0.0296
ZW-HYPER-02,65,2,8,0.0288
ZW-HYPER-02,65,2,9,0.0249
ZW-HYPER-02,65,2,10,0.0265
ZW-HYPER-02,65,2,11,0.0334
ZW-HYPER-02,65,2,12,0.0238
ZW-HYPER-02,65,2,13,0.0334
ZW-HYPER-02,65,2,14,0.0334
ZW-HYPER-02,65,2,15,0.0287
ZW-HYPER-02,65,2,16,0.0354
ZW-HYPER-02,65,2,17,0.0405
ZW-HYPER-02,65,2,18,0.0444
ZW-HYPER-02,65,2,19,0.0384
ZW-HYPER-02,65,2,20,0.0432
ZW-HYPER-02,65,2,21,0.0383
ZW-HYPER-02,65,2,22,0.0421
ZW-HYPER-02,65,2,23,0.0522
ZW-HYPER-02,65,2,24,0.0344
ZW-HYPER-02,65,2,25,0.0466
ZW-HYPER-02,65,2,26,0.0522
ZW-HYPER-02,65,2,27,0.0513
ZW-HYPER-02,65,2,28,0.0544
ZW-HYPER-02,65,2,29,0.0532
ZW-HYPER-02,65,2,30,0.0557
ZW-HYPER-02,65,3,0,0.0219
ZW-HYPER-02,65,3,1,0.0132
ZW-HYPER-02,65,3,2,0.0226
ZW-HYPER-02,65,3,3,0.0296
ZW-HYPER-02,65,3,4,0.0235
ZW-HYPER-02,65,3,5,0.0243
ZW-HYPER-02,65,3,6,0.0196
ZW-HYPER-02,65,3,7,0.0331
ZW-HYPER-02,65,3,8,0.0326
ZW-HYPER-02,65,3,9,0.0235
ZW-HYPER-02,65,3,10,0.0315
ZW-HYPER-02,65,3,11,0.0316
ZW-HYPER-02,65,3,12,0.0426
ZW-HYPER-02,65,3,13,0.0347
ZW-HYPER-02,65,3,14,0.0311
ZW-HYPER-02,65,3,15,0.0407
ZW-HYPER-02,65,3,16,0.0444
ZW-HYPER-02,65,3,17,0.0317
ZW-HYPER-02,65,3,18,0.0428
ZW-HYPER-02,65,3,19,0.0391
ZW-HYPER-02,65,3,20,0.0340
ZW-HYPER-02,65,3,21,0.0401
ZW-HYPER-02,65,3,22,0.0478
ZW-HYPER-02,65,3,23,0.0484
ZW-HYPER-02,65,3,24,0.0481
ZW-HYPER-02,65,3,25,0.0497
ZW-HYPER-02,65,3,26,0.0517
ZW-HYPER-02,65,3,27,0.0490
ZW-HYPER-02,65,3,28,0.0526
ZW-HYPER-02,65,3,29,0.0593
ZW-HYPER-02,65,3,30,0.0558
ZW-HYPER-02,70,1,0,0.0185
ZW-HYPER-02,70,1,1,0.0196
ZW-HYPER-02,70,1,2,0.0219
ZW-HYPER-02,70,1,3,0.0262
ZW-HYPER-02,70,1,4,0.0285
ZW-HYPER-02,70,1,5,0.0283
ZW-HYPER-02,70,1,6,0.0438
ZW-HYPER-02,70,1,7,0.0303
ZW-HYPER-02,70,1,8,0.0377
ZW-HYPER-02,70,1,9,0.0483
ZW-HYPER-02,70,1,10,0.0550
ZW-HYPER-02,70,1,11,0.0522
ZW-HYPER-02,70,1,12,0.0563
ZW-HYPER-02,70,1,13,0.0655
ZW-HYPER-02,70,1,14,0.0652
ZW-HYPER-02,70,1,15,0.0762
ZW-HYPER-02,70,1,16,0.0747
ZW-HYPER-02,70,1,17,0.0901
ZW-HYPER-02,70,1,18,0.0916
ZW-HYPER-02,70,1,19,0.0989
ZW-HYPER-02,70,1,20,0.1011
ZW-HYPER-02,70,1,21,0.1088
ZW-HYPER-02,70,1,22,0.1092
ZW-HYPER-02,70,1,23,0.1293
ZW-HYPER-02,70,1,24,0.1253
ZW-HYPER-02,70,1,25,0.1393
ZW-HYPER-02,70,1,26,0.1433
ZW-HYPER-02,70,1,27,0.1533
ZW-HYPER-02,70,1,28,0.1443
ZW-HYPER-02,70,1,29,0.1738
ZW-HYPER-02,70,1,30,0.1568
ZW-HYPER-02,70,2,0,0.0124
ZW-HYPER-02,70,2,1,0.0185
ZW-HYPER-02,70,2,2,0.0200
ZW-HYPER-02,70,2,3,0.0248
ZW-HYPER-02,70,2,4,0.0327
ZW-HYPER-02,70,2,5,0.0313
ZW-HYPER-02,70,2,6,0.0460
ZW-HYPER-02,70,2,7,0.0357
ZW-HYPER-02,70,2,8,0.0405
ZW-HYPER-02,70,2,9,0.0489
ZW-HYPER-02,70,2,10,0.0484
ZW-HYPER-02,70,2,11,0.0601
ZW-HYPER-02,70,2,12,0.0609
ZW-HYPER-02,70,2,13,0.0614
ZW-HYPER-02,70,2,14,0.0737
ZW-HYPER-02,70,2,15,0.0698
ZW-HYPER-02,70,2,16,0.0825
ZW-HYPER-02,70,2,17,0.0722
ZW-HYPER-02,70,2,18,0.0859
ZW-HYPER-02,70,2,19,0.0952
ZW-HYPER-02,70,2,20,0.1085
ZW-HYPER-02,70,2,21,0.0981
ZW-HYPER-02,70,2,22,0.1230
ZW-HYPER-02,70,2,23,0.1316
ZW-HYPER-02,70,2,24,0.1413
ZW-HYPER-02,70,2,25,0.1456
ZW-HYPER-02,70,2,26,0.1484
ZW-HYPER-02,70,2,27,0.1532
ZW-HYPER-02,70,2,28,0.1587
ZW-HYPER-02,70,2,29,0.1637
ZW-HYPER-02,70,2,30,0.1616
ZW-HYPER-02,70,3,0,0.0249
ZW-HYPER-02,70,3,1,0.0170
ZW-HYPER-02,70,3,2,0.0239
ZW-HYPER-02,70,3,3,0.0271
ZW-HYPER-02,70,3,4,0.0330
ZW-HYPER-02,70,3,5,0.0384
ZW-HYPER-02,70,3,6,0.0338
ZW-HYPER-02,70,3,7,0.0338
ZW-HYPER-02,70,3,8,0.0480
ZW-HYPER-02,70,3,9,0.0482
ZW-HYPER-02,70,3,10,0.0438
ZW-HYPER-02,70,3,11,0.0506
ZW-HYPER-02,70,3,12,0.0592
ZW-HYPER-02,70,3,13,0.0609
ZW-HYPER-02,70,3,14,0.0743
ZW-HYPER-02,70,3,15,0.0690
ZW-HYPER-02,70,3,16,0.0761
ZW-HYPER-02,70,3,17,0.0929
ZW-HYPER-02,70,3,18,0.0883
ZW-HYPER-02,70,3,19,0.1009
ZW-HYPER-02,70,3,20,0.1038
ZW-HYPER-02,70,3,21,0.1063
ZW-HYPER-02,70,3,22,0.1157
ZW-HYPER-02,70,3,23,0.1183
ZW-HYPER-02,70,3,24,0.1261
ZW-HYPER-02,70,3,25,0.1381
ZW-HYPER-02,70,3,26,0.1340
ZW-HYPER-02,70,3,27,0.1538
ZW-HYPER-02,70,3,28,0.1507
ZW-HYPER-02,70,3,29,0.1572
ZW-HYPER-02,70,3,30,0.1560
ZW-HYPER-02,75,1,0,0.0215
ZW-HYPER-02,75,1,1,0.0233
ZW-HYPER-02,75,1,2,0.0250
ZW-HYPER-02,75,1,3,0.0301
ZW-HYPER-02,75,1,4,0.0373
ZW-HYPER-02,75,1,5,0.0514
ZW-HYPER-02,75,1,6,0.0549
ZW-HYPER-02,75,1,7,0.0656
ZW-HYPER-02,75,1,8,0.0703
ZW-HYPER-02,75,1,9,0.0944
ZW-HYPER-02,75,1,10,0.1015
ZW-HYPER-02,75,1,11,0.1216
ZW-HYPER-02,75,1,12,0.1338
ZW-HYPER-02,75,1,13,0.1387
ZW-HYPER-02,75,1,14,0.1672
ZW-HYPER-02,75,1,15,0.1778
ZW-HYPER-02,75,1,16,0.1929
ZW-HYPER-02,75,1,17,0.2076
ZW-HYPER-02,75,1,18,0.2412
ZW-HYPER-02,75,1,19,0.2695
ZW-HYPER-02,75,1,20,0.2818
ZW-HYPER-02,75,1,21,0.2894
ZW-HYPER-02,75,1,22,0.3136
ZW-HYPER-02,75,1,23,0.3255
ZW-HYPER-02,75,1,24,0.3200
ZW-HYPER-02,75,1,25,0.3410
ZW-HYPER-02,75,1,26,0.3537
ZW-HYPER-02,75,1,27,0.3312
ZW-HYPER-02,75,1,28,0.3535
ZW-HYPER-02,75,1,29,0.3464
ZW-HYPER-02,75,1,30,0.3561
ZW-HYPER-02,75,2,0,0.0249
ZW-HYPER-02,75,2,1,0.0206
ZW-HYPER-02,75,2,2,0.0296
ZW-HYPER-02,75,2,3,0.0335
ZW-HYPER-02,75,2,4,0.0490
ZW-HYPER-02,75,2,5,0.0453
ZW-HYPER-02,75,2,6,0.0609
ZW-HYPER-02,75,2,7,0.0581
ZW-HYPER-02,75,2,8,0.0728
ZW-HYPER-02,75,2,9,0.0903
ZW-HYPER-02,75,2,10,0.1005
ZW-HYPER-02,75,2,11,0.1201
ZW-HYPER-02,75,2,12,0.1290
ZW-HYPER-02,75,2,13,0.1512
ZW-HYPER-02,75,2,14,0.1695
ZW-HYPER-02,75,2,15,0.1700
ZW-HYPER-02,75,2,16,0.2129
ZW-HYPER-02,75,2,17,0.2131
ZW-HYPER-02,75,2,18,0.2410
ZW-HYPER-02,75,2,19,0.2373
ZW-HYPER-02,75,2,20,0.2891
ZW-HYPER-02,75,2,21,0.2781
ZW-HYPER-02,75,2,22,0.3231
ZW-HYPER-02,75,2,23,0.2812
ZW-HYPER-02,75,2,24,0.3356
ZW-HYPER-02,75,2,25,0.3104
ZW-HYPER-02,75,2,26,0.3444
ZW-HYPER-02,75,2,27,0.3466
ZW-HYPER-02,75,2,28,0.3726
ZW-HYPER-02,75,2,29,0.3570
ZW-HYPER-02,75,2,30,0.3495
ZW-HYPER-02,75,3,0,0.0192
ZW-HYPER-02,75,3,1,0.0170
ZW-HYPER-02,75,3,2,0.0304
ZW-HYPER-02,75,3,3,0.0407
ZW-HYPER-02,75,3,4,0.0402
ZW-HYPER-02,75,3,5,0.0511
ZW-HYPER-02,75,3,6,0.0613
ZW-HYPER-02,75,3,7,0.0650
ZW-HYPER-02,75,3,8,0.0795
ZW-HYPER-02,75,3,9,0.0831
ZW-HYPER-02,75,3,10,0.0978
ZW-HYPER-02,75,3,11,0.1215
ZW-HYPER-02,75,3,12,0.1352
ZW-HYPER-02,75,3,13,0.1423
ZW-HYPER-02,75,3,14,0.1700
ZW-HYPER-02,75,3,15,0.1906
ZW-HYPER-02,75,3,16,0.1964
ZW-HYPER-02,75,3,17,0.2109
ZW-HYPER-02,75,3,18,0.2211
ZW-HYPER-02,75,3,19,0.2261
ZW-HYPER-02,75,3,20,0.2516
ZW-HYPER-02,75,3,21,0.2593
ZW-HYPER-02,75,3,22,0.3234
ZW-HYPER-02,75,3,23,0.3148
ZW-HYPER-02,75,3,24,0.3313
ZW-HYPER-02,75,3,25,0.3065
ZW-HYPER-02,75,3,26,0.3372
ZW-HYPER-02,75,3,27,0.3365
ZW-HYPER-02,75,3,28,0.3461
ZW-HYPER-02,75,3,29,0.3540
ZW-HYPER-02,75,3,30,0.3905
ZW-HYPER-02,78,1,0,0.0202
ZW-HYPER-02,78,1,1,0.0236
ZW-HYPER-02,78,1,2,0.0284
ZW-HYPER-02,78,1,3,0.0347
ZW-HYPER-02,78,1,4,0.0563
ZW-HYPER-02,78,1,5,0.0596
ZW-HYPER-02,78,1,6,0.0755
ZW-HYPER-02,78,1,7,0.0855
ZW-HYPER-02,78,1,8,0.1286
ZW-HYPER-02,78,1,9,0.1355
ZW-HYPER-02,78,1,10,0.1578
ZW-HYPER-02,78,1,11,0.2044
ZW-HYPER-02,78,1,12,0.2023
ZW-HYPER-02,78,1,13,0.2500
ZW-HYPER-02,78,1,14,0.2826
ZW-HYPER-02,78,1,15,0.3150
ZW-HYPER-02,78,1,16,0.3259
ZW-HYPER-02,78,1,17,0.3609
ZW-HYPER-02,78,1,18,0.3838
ZW-HYPER-02,78,1,19,0.4198
ZW-HYPER-02,78,1,20,0.4288
ZW-HYPER-02,78,1,21,0.4161
ZW-HYPER-02,78,1,22,0.4834
ZW-HYPER-02,78,1,23,0.4583
ZW-HYPER-02,78,1,24,0.5055
ZW-HYPER-02,78,1,25,0.5262
ZW-HYPER-02,78,1,26,0.4704
ZW-HYPER-02,78,1,27,0.4491
ZW-HYPER-02,78,1,28,0.4695
ZW-HYPER-02,78,1,29,0.4969
ZW-HYPER-02,78,1,30,0.5390
ZW-HYPER-02,78,2,0,0.0229
ZW-HYPER-02,78,2,1,0.0337
ZW-HYPER-02,78,2,2,0.0338
ZW-HYPER-02,78,2,3,0.0404
ZW-HYPER-02,78,2,4,0.0587
ZW-HYPER-02,78,2,5,0.0543
ZW-HYPER-02,78,2,6,0.0762
ZW-HYPER-02,78,2,7,0.0969
ZW-HYPER-02,78,2,8,0.1101
ZW-HYPER-02,78,2,9,0.1266
ZW-HYPER-02,78,2,10,0.1478
ZW-HYPER-02,78,2,11,0.1929
ZW-HYPER-02,78,2,12,0.2165
ZW-HYPER-02,78,2,13,0.2636
ZW-HYPER-02,78,2,14,0.2829
ZW-HYPER-02,78,2,15,0.3057
ZW-HYPER-02,78,2,16,0.3322
ZW-HYPER-02,78,2,17,0.3616
ZW-HYPER-02,78,2,18,0.4103
ZW-HYPER-02,78,2,19,0.3864
ZW-HYPER-02,78,2,20,0.4590
ZW-HYPER-02,78,2,21,0.4516
ZW-HYPER-02,78,2,22,0.5047
ZW-HYPER-02,78,2,23,0.4231
ZW-HYPER-02,78,2,24,0.4685
ZW-HYPER-02,78,2,25,0.4879
ZW-HYPER-02,78,2,26,0.4765
ZW-HYPER-02,78,2,27,0.4976
ZW-HYPER-02,78,2,28,0.4730
ZW-HYPER-02,78,2,29,0.4964
ZW-HYPER-02,78,2,30,0.4996
ZW-HYPER-02,78,3,0,0.0173
ZW-HYPER-02,78,3,1,0.0305
ZW-HYPER-02,78,3,2,0.0283
ZW-HYPER-02,78,3,3,0.0275
ZW-HYPER-02,78,3,4,0.0536
ZW-HYPER-02,78,3,5,0.0598
ZW-HYPER-02,78,3,6,0.0726
ZW-HYPER-02,78,3,7,0.0848
ZW-HYPER-02,78,3,8,0.1090
ZW-HYPER-02,78,3,9,0.1377
ZW-HYPER-02,78,3,10,0.1714
ZW-HYPER-02,78,3,11,0.1668
ZW-HYPER-02,78,3,12,0.2262
ZW-HYPER-02,78,3,13,0.2481
ZW-HYPER-02,78,3,14,0.2739
ZW-HYPER-02,78,3,15,0.2907
ZW-HYPER-02,78,3,16,0.3619
ZW-HYPER-02,78,3,17,0.3854
ZW-HYPER-02,78,3,18,0.3839
ZW-HYPER-02,78,3,19,0.3965
ZW-HYPER-02,78,3,20,0.4233
ZW-HYPER-02,78,3,21,0.4598
ZW-HYPER-02,78,3,22,0.4520
ZW-HYPER-02,78,3,23,0.4687
ZW-HYPER-02,78,3,24,0.4469
ZW-HYPER-02,78,3,25,0.5048
ZW-HYPER-02,78,3,26,0.4996
ZW-HYPER-02,78,3,27,0.5076
ZW-HYPER-02,78,3,28,0.4542
ZW-HYPER-02,78,3,29,0.5021
ZW-HYPER-02,78,3,30,0.4760
ZW-HYPER-02,81,1,0,0.0178
ZW-HYPER-02,81,1,1,0.0212
ZW-HYPER-02,81,1,2,0.0409
ZW-HYPER-02,81,1,3,0.0548
ZW-HYPER-02,81,1,4,0.0571
ZW-HYPER-02,81,1,5,0.0860
ZW-HYPER-02,81,1,6,0.1095
ZW-HYPER-02,81,1,7,0.1404
ZW-HYPER-02,81,1,8,0.1693
ZW-HYPER-02,81,1,9,0.2293
ZW-HYPER-02,81,1,10,0.2613
ZW-HYPER-02,81,1,11,0.2984
ZW-HYPER-02,81,1,12,0.3503
ZW-HYPER-02,81,1,13,0.3691
ZW-HYPER-02,81,1,14,0.4645
ZW-HYPER-02,81,1,15,0.4620
ZW-HYPER-02,81,1,16,0.4949
ZW-HYPER-02,81,1,17,0.5495
ZW-HYPER-02,81,1,18,0.5738
ZW-HYPER-02,81,1,19,0.5697
ZW-HYPER-02,81,1,20,0.5927
ZW-HYPER-02,81,1,21,0.5756
ZW-HYPER-02,81,1,22,0.6236
ZW-HYPER-02,81,1,23,0.5762
ZW-HYPER-02,81,1,24,0.5751
ZW-HYPER-02,81,1,25,0.5931
ZW-HYPER-02,81,1,26,0.6570
ZW-HYPER-02,81,1,27,0.6240
ZW-HYPER-02,81,1,28,0.6270
ZW-HYPER-02,81,1,29,0.6454
ZW-HYPER-02,81,1,30,0.6159
ZW-HYPER-02,81,2,0,0.0190
ZW-HYPER-02,81,2,1,0.0192
ZW-HYPER-02,81,2,2,0.0416
ZW-HYPER-02,81,2,3,0.0467
ZW-HYPER-02,81,2,4,0.0635
ZW-HYPER-02,81,2,5,0.0775
ZW-HYPER-02,81,2,6,0.1008
ZW-HYPER-02,81,2,7,0.1388
ZW-HYPER-02,81,2,8,0.1720
ZW-HYPER-02,81,2,9,0.2068
ZW-HYPER-02,81,2,10,0.2699
ZW-HYPER-02,81,2,11,0.3296
ZW-HYPER-02,81,2,12,0.3532
ZW-HYPER-02,81,2,13,0.4242
ZW-HYPER-02,81,2,14,0.4427
ZW-HYPER-02,81,2,15,0.4558
ZW-HYPER-02,81,2,16,0.5239
ZW-HYPER-02,81,2,17,0.5840
ZW-HYPER-02,81,2,18,0.5459
ZW-HYPER-02,81,2,19,0.5907
ZW-HYPER-02,81,2,20,0.5404
ZW-HYPER-02,81,2,21,0.5582
ZW-HYPER-02,81,2,22,0.5648
ZW-HYPER-02,81,2,23,0.6028
ZW-HYPER-02,81,2,24,0.5651
ZW-HYPER-02,81,2,25,0.6511
ZW-HYPER-02,81,2,26,0.6075
ZW-HYPER-02,81,2,27,0.5491
ZW-HYPER-02,81,2,28,0.6729
ZW-HYPER-02,81,2,29,0.5868
ZW-HYPER-02,81,2,30,0.5830
ZW-HYPER-02,81,3,0,0.0240
ZW-HYPER-02,81,3,1,0.0284
ZW-HYPER-02,81,3,2,0.0269
ZW-HYPER-02,81,3,3,0.0518
ZW-HYPER-02,81,3,4,0.0667
ZW-HYPER-02,81,3,5,0.0802
ZW-HYPER-02,81,3,6,0.1095
ZW-HYPER-02,81,3,7,0.1474
ZW-HYPER-02,81,3,8,0.1803
ZW-HYPER-02,81,3,9,0.2403
ZW-HYPER-02,81,3,10,0.2573
ZW-HYPER-02,81,3,11,0.3171
ZW-HYPER-02,81,3,12,0.3600
ZW-HYPER-02,81,3,13,0.4161
ZW-HYPER-02,81,3,14,0.4489
ZW-HYPER-02,81,3,15,0.4823
ZW-HYPER-02,81,3,16,0.4819
ZW-HYPER-02,81,3,17,0.5165
ZW-HYPER-02,81,3,18,0.5713
ZW-HYPER-02,81,3,19,0.5808
ZW-HYPER-02,81,3,20,0.6725
ZW-HYPER-02,81,3,21,0.6000
ZW-HYPER-02,81,3,22,0.5873
ZW-HYPER-02,81,3,23,0.6173
ZW-HYPER-02,81,3,24,0.5759
ZW-HYPER-02,81,3,25,0.5722
ZW-HYPER-02,81,3,26,0.6610
ZW-HYPER-02,81,3,27,0.6399
ZW-HYPER-02,81,3,28,0.5788
ZW-HYPER-02,81,3,29,0.5904
ZW-HYPER-02,81,3,30,0.6306
ZW-HYPER-02,84,1,0,0.0143
ZW-HYPER-02,84,1,1,0.0286
ZW-HYPER-02,84,1,2,0.0434
ZW-HYPER-02,84,1,3,0.0615
ZW-HYPER-02,84,1,4,0.0870
ZW-HYPER-02,84,1,5,0.1218
ZW-HYPER-02,84,1,6,0.1453
ZW-HYPER-02,84,1,7,0.2152
ZW-HYPER-02,84,1,8,0.2605
ZW-HYPER-02,84,1,9,0.3979
ZW-HYPER-02,84,1,10,0.4544
ZW-HYPER-02,84,1,11,0.4676
ZW-HYPER-02,84,1,12,0.5296
ZW-HYPER-02,84,1,13,0.6522
ZW-HYPER-02,84,1,14,0.6556
ZW-HYPER-02,84,1,15,0.6400
ZW-HYPER-02,84,1,16,0.6672
ZW-HYPER-02,84,1,17,0.7749
ZW-HYPER-02,84,1,18,0.7562
ZW-HYPER-02,84,1,19,0.7612
ZW-HYPER-02,84,1,20,0.7117
ZW-HYPER-02,84,1,21,0.7821
ZW-HYPER-02,84,1,22,0.7318
ZW-HYPER-02,84,1,23,0.7369
ZW-HYPER-02,84,1,24,0.6836
ZW-HYPER-02,84,1,25,0.7698
ZW-HYPER-02,84,1,26,0.7916
ZW-HYPER-02,84,1,27,0.7538
ZW-HYPER-02,84,1,28,0.7223
ZW-HYPER-02,84,1,29,0.7020
ZW-HYPER-02,84,1,30,0.7479
ZW-HYPER-02,84,2,0,0.0266
ZW-HYPER-02,84,2,1,0.0283
ZW-HYPER-02,84,2,2,0.0392
ZW-HYPER-02,84,2,3,0.0611
ZW-HYPER-02,84,2,4,0.0850
ZW-HYPER-02,84,2,5,0.1162
ZW-HYPER-02,84,2,6,0.1648
ZW-HYPER-02,84,2,7,0.2267
ZW-HYPER-02,84,2,8,0.2808
ZW-HYPER-02,84,2,9,0.3370
ZW-HYPER-02,84,2,10,0.4069
ZW-HYPER-02,84,2,11,0.4723
ZW-HYPER-02,84,2,12,0.5498
ZW-HYPER-02,84,2,13,0.5859
ZW-HYPER-02,84,2,14,0.6293
ZW-HYPER-02,84,2,15,0.6819
ZW-HYPER-02,84,2,16,0.6770
ZW-HYPER-02,84,2,17,0.7009
ZW-HYPER-02,84,2,18,0.6973
ZW-HYPER-02,84,2,19,0.7650
ZW-HYPER-02,84,2,20,0.7643
ZW-HYPER-02,84,2,21,0.6635
ZW-HYPER-02,84,2,22,0.7381
ZW-HYPER-02,84,2,23,0.7092
ZW-HYPER-02,84,2,24,0.7457
ZW-HYPER-02,84,2,25,0.7341
ZW-HYPER-02,84,2,26,0.7273
ZW-HYPER-02,84,2,27,0.8446
ZW-HYPER-02,84,2,28,0.7814
ZW-HYPER-02,84,2,29,0.7599
ZW-HYPER-02,84,2,30,0.7112
ZW-HYPER-02,84,3,0,0.0229
ZW-HYPER-02,84,3,1,0.0279
ZW-HYPER-02,84,3,2,0.0435
ZW-HYPER-02,84,3,3,0.0620
ZW-HYPER-02,84,3,4,0.0799
ZW-HYPER-02,84,3,5,0.1117
ZW-HYPER-02,84,3,6,0.1708
ZW-HYPER-02,84,3,7,0.2319
ZW-HYPER-02,84,3,8,0.2506
ZW-HYPER-02,84,3,9,0.3460
ZW-HYPER-02,84,3,10,0.4560
ZW-HYPER-02,84,3,11,0.4736
ZW-HYPER-02,84,3,12,0.5404
ZW-HYPER-02,84,3,13,0.6289
